AtomicNumber,Symbol,PersianName,Name,Atomic Mass,Density,Standard State,Electronegativity,Ionization Energy,Electron Configuration,Atomic Radius,Oxidation States,Electron Affinity,Melting Point,Boiling Point,Year Discovered,Metal / Metalloid / Nonmetal,Chemical Group / Family
86,Rn,رادون,Radon,222,0.00973,Gas,,10.748,[Xe]4f14 5d10 6s2 6p6,220,0,,202,211.45,1900,Non-metal,Noble gas
87,Fr,فرانسیم,Francium,223,,Solid,,4.073,[Rn]7s1,260,+1,0.47,300,950,1939,Metal,Alkali metal
88,Ra,رادیم,Radium,226,5.5,Solid,0.9,5.279,[Rn]7s2,221,+2,,973,2010,1898,Metal,Alkaline earth metal
89,Ac,اکتینیم,Actinium,227,10.07,Solid,1.1,5.17,[Rn]6d1 7s2,260,+3,,1323,3471,1899,Metal,Actinide
90,Th,توریم,Thorium,232.0377,11.72,Solid,1.3,6.307,[Rn]6d2 7s2,237,+4,0,2023,5061,1828,Metal,Actinide
91,Pa,پروتاکتینیم,Protactinium,231.03588,15.37,Solid,1.5,5.89,[Rn]5f2 6d1 7s2,243,+5,0,1841,4300,1913,Metal,Actinide
92,U,اورانیوم,Uranium,238.02891,19.05,Solid,1.38,6.194,[Rn]5f3 6d1 7s2,240,"+6, +5, +4, +3",0,1405.3,4404,1789,Metal,Actinide
93,Np,نپتونیم,Neptunium,237,20.45,Solid,1.36,6.266,[Rn]5f4 6d1 7s2,221,"+6, +5, +4, +3",,917,4175,1940,Metal,Actinide
94,Pu,پلوتونیم,Plutonium,244,19.816,Solid,1.28,6.026,[Rn]5f6 7s2,243,"+6, +5, +4, +3",,912.5,3501,1940,Metal,Actinide
95,Am,آمریسیم,Americium,243,13.67,Solid,1.3,5.974,[Rn]5f7 7s2,244,"+6, +5, +4, +3",,1449,2880,1944,Metal,Actinide
96,Cm,کوریوم,Curium,247,13.51,Solid,1.3,5.991,[Rn]5f7 6d1 7s2,245,"+3",,1613,3383,1944,Metal,Actinide
97,Bk,برکلیم,Berkelium,247,14.78,Solid,1.3,6.198,[Rn]5f9 7s2,244,"+4, +3",,1259,2900,1949,Metal,Actinide
98,Cf,کالیفرنیم,Californium,251,15.1,Solid,1.3,6.282,[Rn]5f10 7s2,245,"+3",,1173,1743,1950,Metal,Actinide
99,Es,اینشتینیم,Einsteinium,252,8.84,Solid,1.3,6.42,[Rn]5f11 7s2,245,+3,,1133,1269,1952,Metal,Actinide
100,Fm,فرمیم,Fermium,257,9.7,Solid,1.3,6.5,[Rn]5f12 7s2,245,+3,,1527,1771,1952,Metal,Actinide
101,Md,مندلیفیم,Mendelevium,258,10.3,Solid,1.3,6.58,[Rn]5f13 7s2,245,+3,,1100,1400,1955,Metal,Actinide
102,No,نوبلیم,Nobelium,259,9.9,Solid,1.3,6.65,[Rn]5f14 7s2,245,+2,,1100,1100,1958,Metal,Actinide
103,Lr,لورنسیم,Lawrencium,262,14.4,Solid,1.3,4.9,[Rn]5f14 7s2 7p1,260,+3,,1900,?,1961,Metal,Actinide
104,Rf,رادرفوردیم,Rutherfordium,267,,Expected to be a Solid,,, [Rn]5f14 6d2 7s2,200,"+4, +3, +2",,2400,5800,1969,Metal,Transition metal
105,Db,دوبنیم,Dubnium,270,,Expected to be a Solid,,, [Rn]5f14 6d3 7s2,200,+5,,? ,?,1967,Metal,Transition metal
106,Sg,سیبورگیم,Seaborgium,271,,Expected to be a Solid,,, [Rn]5f14 6d4 7s2,200,+6,,?, ?,1974,Metal,Transition metal
107,Bh,بوهریم,Bohrium,270,,Expected to be a Solid,,, [Rn]5f14 6d5 7s2,200,+7,,?, ?,1981,Metal,Transition metal
108,Hs,هاسیوم,Hassium,277,,Expected to be a Solid,,, [Rn]5f14 6d6 7s2,200,+8,,?, ?,1984,Metal,Transition metal
109,Mt,مایتنریم,Meitnerium,278,,Expected to be a Solid,,, [Rn]5f14 6d7 7s2,200,+9,,?, ?,1982,Metal,Transition metal
110,Ds,دارمشتاتیم,Darmstadtium,281,,Expected to be a Solid,,, [Rn]5f14 6d9 7s1,200,+10,,?, ?,1994,Metal,Transition metal
111,Rg,رونتگنیم,Roentgenium,282,,Expected to be a Solid,,, [Rn]5f14 6d10 7s1,200,+1,,?, ?,1994,Metal,Transition metal
112,Cn,کوپرنیسیم,Copernicium,285,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2,200,+2,,?, ?,1996,Metal,Transition metal
113,Nh,نیهونیوم,Nihonium,286,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2 7p1,200,+1,0.7,?, ?,2003,Metal,Post-transition metal
114,Fl,فلروویم,Flerovium,289,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2 7p2,200,+2,0.35,?, ?,1999,Metal,Post-transition metal
115,Mc,مسکوویم,Moscovium,290,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2 7p3,200,+3,0.0,?, ?,2003,Metal,Pnictogen
116,Lv,لیورموریم,Livermorium,293,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2 7p4,200,+4,0.0,?, ?,2000,Metal,Chalcogen
117,Ts,تنسین,Tennessine,294,,Expected to be a Solid,,, [Rn]5f14 6d10 7s2 7p5,200,+1,,?, ?,2010,Non-metal,Halogen
118,Og,اوگانسون,Oganesson,295.216,,Expected to be a Gas,,, [Rn]7s2 7p6 5f14 6d10 (predicted),,,?, ?,2006,Non-metal,Noble gas
